date,sh.600843.csv,sh.600863.csv,sh.600867.csv,sh.600143.csv,sz.000796.csv,sh.600352.csv,sh.600016.csv,sh.600133.csv,sz.000776.csv,sz.300740.csv
2007-10-31,7.5318964,2.59017346,1.83557549,8.0594442,7.16641215,3.39512058,4.66217493,4.7066556,3.85831435,
2007-11-01,7.1354808,2.45975489,1.75392457,8.15285232,7.88007975,3.39512058,4.65119865,4.72711932,3.85831435,
2007-11-02,6.88772105,2.49311778,1.72880121,8.15285232,7.2952688,3.39512058,4.5002748,4.76293083,3.85831435,
2007-11-05,7.22467431,2.43245798,1.75706499,8.14566708,8.0287605,3.39512058,4.49204259,4.70153967,3.85831435,
2007-11-06,7.31386782,2.49311778,1.77119688,8.2151244,8.2270015,3.15843672,4.55790027,4.70153967,3.85831435,
2007-11-07,7.25440548,2.55681057,1.76491604,8.09297532,8.2864738,3.20816022,4.77193773,4.58387328,3.85831435,
2007-11-08,7.04628729,2.56287655,1.69896722,7.664256,7.7115749,3.07490124,4.6100376,4.37412015,3.85831435,
2007-11-09,7.29404704,2.53861263,1.68483533,7.59479868,8.127881,3.08882382,4.80486657,4.47643875,3.85831435,
2007-11-12,7.48234445,2.28384147,1.63772903,7.59479868,8.63339555,2.96749848,4.83230727,4.88571315,3.85831435,
2007-11-13,7.38324055,2.21711569,1.64558008,7.30738908,8.09814485,3.01125516,4.48929852,4.84990164,3.85831435,
2007-11-14,7.54180679,2.30203941,1.70838848,7.39600704,8.09814485,3.16440354,4.60729353,4.98291582,3.85831435,
2007-11-15,7.5318964,2.23834662,1.68954596,7.27385796,8.8415486,3.01523304,4.52222736,4.78851048,3.85831435,
2007-11-16,7.61117952,2.25957755,1.69268638,7.065486,8.6631317,3.04705608,4.47009003,4.7066556,3.85831435,
2007-11-19,7.74001459,2.29900642,1.74136289,7.41516768,8.65321965,3.13059156,4.36032723,4.83966978,3.85831435,
2007-11-20,7.8292081,2.32630333,1.76805646,7.53492168,8.5045389,3.17037036,4.50576294,4.8089742,3.85831435,
2007-11-21,7.79947693,2.24744559,1.71623953,7.39600704,8.11796895,3.0928017,4.38502386,4.71177153,3.85831435,
2007-11-22,7.20485353,2.13522496,1.66913323,6.93615168,7.8701677,2.94760908,4.28898141,4.37412015,3.85831435,
